artist_name,track_id,track_name,popularity,duration_ms,duration_min
Dua Lipa,6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,80,202735,3.3789166666666666
Dua Lipa,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,84,183290,3.0548333333333333
Dua Lipa,76dIZzTdrNO15mGBrU3MHi,One Kiss (with Dua Lipa),78,214846,3.580766666666667
Dua Lipa,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),83,203064,3.3844
Dua Lipa,5b5cPscqVEMChvDqscVw26,Training Season,80,209487,3.49145
Dua Lipa,2xJCMIJfcNYDc5iR0sAm2O,New Rules,64,209320,3.4886666666666666
Dua Lipa,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,82,176579,2.9429833333333333
Dua Lipa,6D8y7Bck8h11byRY88Pt2z,Houdini,83,185917,3.0986166666666666
Dua Lipa,39LLxExYz6ewLAcYrzQQyP,Levitating,81,203807,3.3967833333333335
Dua Lipa,3gJAFFELdZyIM8tiwLAikg,Handlebars (feat. Dua Lipa),79,184698,3.0783
